Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
CBB,Showdown Captain Mode,2985073906,CBB Showdown $1 50-50 [Top 50% Win] (WISC vs UH),119058780,11/23/21 16:45,10,0,$0.00 ,$0.00 ,10,$1.00 ,$9.00 ,5
CBB,Showdown Captain Mode,2984537783,CBB Showdown $200 And-One (STMRY vs ND),118948473,11/22/21 23:15,68,111.88,$0.00 ,$0.00 ,237,$1.00 ,$200.00 ,55
CBB,Showdown Captain Mode,2983003074,CBB Showdown $1 50-50 [Top 50% Win] (STMRY vs ND),118981803,11/22/21 23:15,2,111.88,$1.80 ,$0.00 ,10,$1.00 ,$9.00 ,5
NBA,Showdown Captain Mode,2983028230,NBA Showdown $1 jimmykim810 vs. hvirani89 (PHI vs SAC),118983090,11/22/21 22:00,1,187.63,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Classic,2982997302,NBA $5K Elbow Shot [Single Entry],118934988,11/22/21 19:00,1942,231.25,$0.00 ,$0.00 ,2972,$2.00 ,"$5,000.00 ",685
NBA,Classic,2983003286,NBA $5K Daily Dollar [Single Entry],118934989,11/22/21 19:00,3658,231.25,$0.00 ,$0.00 ,5945,$1.00 ,"$5,000.00 ",1543
NBA,Classic,2983012990,NBA $3 jimmykim810 vs. shiposki75,118983040,11/22/21 19:00,1,206.25,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Classic,2983012991,NBA $3 jimmykim810 vs. mmurray9595,118983041,11/22/21 19:00,2,206.25,$0.00 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Classic,2983012992,NBA $3 jimmykim810 vs. tdunn90,118983042,11/22/21 19:00,2,206.25,$0.00 ,$0.00 ,2,$3.00 ,$5.40 ,1
CBB,Classic,2982996877,CBB $500 Quarter Jukebox [Just $0.25!] (3/5),118948435,11/22/21 18:00,1034,204.75,$0.00 ,$0.00 ,2378,$0.25 ,$500.00 ,536
CBB,Classic,2982996876,CBB $500 Quarter Jukebox [Just $0.25!] (2/5),118948435,11/22/21 18:00,1210,199.75,$0.00 ,$0.00 ,2378,$0.25 ,$500.00 ,536
CBB,Classic,2982996879,CBB $500 Quarter Jukebox [Just $0.25!] (5/5),118948435,11/22/21 18:00,1645,188.5,$0.00 ,$0.00 ,2378,$0.25 ,$500.00 ,536
CBB,Classic,2982996875,CBB $500 Quarter Jukebox [Just $0.25!] (1/5),118948435,11/22/21 18:00,2072,172.5,$0.00 ,$0.00 ,2378,$0.25 ,$500.00 ,536
CBB,Classic,2982996878,CBB $500 Quarter Jukebox [Just $0.25!] (4/5),118948435,11/22/21 18:00,2119,168.5,$0.00 ,$0.00 ,2378,$0.25 ,$500.00 ,536
CBB,Classic,2983002877,CBB $1 Double Up,118975182,11/22/21 18:00,21,204.75,$0.00 ,$0.00 ,39,$1.00 ,$34.00 ,17
CBB,Classic,2983020980,CBB $1 Double Up,118980336,11/22/21 18:00,14,204.75,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NBA,Showdown Captain Mode,2983004004,NBA Showdown $1 jimmykim810 vs. olcz27 (PHX vs SAS),118983064,11/22/21 20:30,2,175.75,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2983019902,NFL Showdown $10K Daily Dollar [Single Entry] (NYG vs TB),118744618,11/22/21 20:15,1054,94.5,$2.00 ,$0.00 ,11890,$1.00 ,"$10,000.00 ",3080
NFL,Showdown Captain Mode,2983001858,NFL Showdown $1 jimmykim810 vs. matt.simon10 (NYG vs TB),118982877,11/22/21 20:15,1,94.5,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2983013557,NBA Showdown $1 jimmykim810 vs. noah.gaudet (IND vs CHI),118983061,11/22/21 20:00,2,160.5,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2983027940,NBA Showdown $1 jimmykim810 vs. noah.gaudet (HOU vs BOS),118983052,11/22/21 19:30,1,178.75,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2983021942,NBA Showdown $1 jimmykim810 vs. eaglesam85 (BKN vs CLE),118983046,11/22/21 19:00,2,211.5,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Showdown Captain Mode,2982997084,CBB Showdown $1 50-50 [Top 50% Win] (OSU vs SHU),118979835,11/22/21 18:00,9,138.25,$0.00 ,$0.00 ,10,$1.00 ,$9.00 ,5
CBB,Showdown Captain Mode,2981044896,CBB Showdown $1 50-50 [Top 50% Win] (ARIZ vs MICH),118925221,11/21/21 21:30,3,151.13,$1.80 ,$0.00 ,10,$1.00 ,$9.00 ,5
NBA,Showdown Captain Mode,2981077345,NBA Showdown $1 jimmykim810 vs. BDH23 (TOR vs GSW),118925935,11/21/21 20:30,1,208.13,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Classic,2981050773,NBA $2 jimmykim810 vs. RoYzH,118925970,11/21/21 18:00,1,258.75,$3.60 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2981050774,NBA $2 jimmykim810 vs. earthdog64,118925971,11/21/21 18:00,1,258.75,$3.60 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2981050775,NBA $2 jimmykim810 vs. philliu08,118925972,11/21/21 18:00,1,258.75,$3.60 ,$0.00 ,2,$2.00 ,$3.60 ,1
NFL,Showdown Captain Mode,2980956143,NFL Showdown $60K Huddle [Single Entry] (PIT vs LAC),118676288,11/21/21 20:20,5231,130.93,$0.00 ,$0.00 ,14268,$5.00 ,"$60,000.00 ",2870
NBA,Showdown Captain Mode,2981049963,NBA Showdown $1 jimmykim810 vs. noah.gaudet (LAL vs DET),118925932,11/21/21 18:00,1,263.25,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Classic,2981026202,CBB $1 Double Up,118923550,11/21/21 15:00,3,219.5,$2.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
CBB,Classic,2981044514,CBB $1 Double Up,118925144,11/21/21 15:00,3,219.5,$2.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NFL,Showdown Captain Mode,2979848648,NFL Showdown $1 jimmykim810 vs. gregr1224 (ARI vs SEA),118890244,11/21/21 16:25,1,73.52,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979847898,NFL Showdown $1 jimmykim810 vs. gregr1224 (DAL vs KC),118890203,11/21/21 16:25,2,59.39,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Classic,2976107173,NFL $200K First Down [20 Entry Max] (15/20),118400934,11/21/21 13:00,1850,179,$5.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107160,NFL $200K First Down [20 Entry Max] (2/20),118400934,11/21/21 13:00,8594,161.56,$3.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107168,NFL $200K First Down [20 Entry Max] (10/20),118400934,11/21/21 13:00,12731,156.4,$3.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107166,NFL $200K First Down [20 Entry Max] (8/20),118400934,11/21/21 13:00,33772,141.86,$1.50 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107162,NFL $200K First Down [20 Entry Max] (4/20),118400934,11/21/21 13:00,41067,138.36,$1.50 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107167,NFL $200K First Down [20 Entry Max] (9/20),118400934,11/21/21 13:00,54973,132.74,$1.50 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107175,NFL $200K First Down [20 Entry Max] (17/20),118400934,11/21/21 13:00,55109,132.7,$1.50 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107172,NFL $200K First Down [20 Entry Max] (14/20),118400934,11/21/21 13:00,93025,120.78,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107161,NFL $200K First Down [20 Entry Max] (3/20),118400934,11/21/21 13:00,122546,113.1,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107170,NFL $200K First Down [20 Entry Max] (12/20),118400934,11/21/21 13:00,142747,108.26,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107159,NFL $200K First Down [20 Entry Max] (1/20),118400934,11/21/21 13:00,154376,105.36,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107169,NFL $200K First Down [20 Entry Max] (11/20),118400934,11/21/21 13:00,161202,103.68,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107164,NFL $200K First Down [20 Entry Max] (6/20),118400934,11/21/21 13:00,169795,101.42,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107174,NFL $200K First Down [20 Entry Max] (16/20),118400934,11/21/21 13:00,184339,97.42,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107176,NFL $200K First Down [20 Entry Max] (18/20),118400934,11/21/21 13:00,200692,92.18,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107178,NFL $200K First Down [20 Entry Max] (20/20),118400934,11/21/21 13:00,204010,90.98,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107171,NFL $200K First Down [20 Entry Max] (13/20),118400934,11/21/21 13:00,215863,85.92,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107177,NFL $200K First Down [20 Entry Max] (19/20),118400934,11/21/21 13:00,218217,84.72,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107165,NFL $200K First Down [20 Entry Max] (7/20),118400934,11/21/21 13:00,221495,82.84,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2976107163,NFL $200K First Down [20 Entry Max] (5/20),118400934,11/21/21 13:00,231695,74.24,$0.00 ,$0.00 ,237812,$1.00 ,"$200,000.00 ",64208
NFL,Classic,2971059291,NFL GIANT $5 Double Up [Single Entry],118427427,11/21/21 13:00,7507,114.04,$0.00 ,$0.00 ,17241,$5.00 ,"$75,000.00 ",7500
NFL,Classic,2975043799,NFL GIANT $5 Double Up [Single Entry],118427429,11/21/21 13:00,1735,114.04,$10.00 ,$0.00 ,4597,$5.00 ,"$20,000.00 ",2000
NFL,Classic,2976090184,$10K MVP Challenge Presented by Visa,118435684,11/21/21 13:00,667,179,$3.00 ,$0.00 ,93487,$0.00 ,"$10,000.00 ",6160
NFL,Classic,2980180008,NFL $3 jimmykim810 vs. vegetaserge,118899329,11/21/21 13:00,1,114.04,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
NFL,Classic,2980180009,NFL $3 jimmykim810 vs. chrzasza,118899330,11/21/21 13:00,1,114.04,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
NFL,Classic,2980180010,NFL $3 jimmykim810 vs. Phonexay,118899331,11/21/21 13:00,1,114.04,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
NFL,Showdown Captain Mode,2979855941,NFL Showdown $1 jimmykim810 vs. zachczirr (CIN vs LV),118890187,11/21/21 16:05,1,82.8,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2981069042,NBA Showdown $1 jimmykim810 vs. sliccgates (DAL vs LAC),118925931,11/21/21 15:30,2,200.75,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979846954,NFL Showdown $1 jimmykim810 vs. 4th_and_29 (SF vs JAX),118890160,11/21/21 13:00,2,72.3,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979833157,NFL Showdown $1 jimmykim810 vs. betts4fun (DET vs CLE),118890053,11/21/21 13:00,1,82.58,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979841394,NFL Showdown $1 jimmykim810 vs. takeyourcake (WAS vs CAR),118889913,11/21/21 13:00,2,109.64,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979840973,NFL Showdown $1 jimmykim810 vs. thomasgore (MIA vs NYJ),118889893,11/21/21 13:00,2,81.44,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979831753,NFL Showdown $1 jimmykim810 vs. bmo115 (NO vs PHI),118889670,11/21/21 13:00,2,95.37,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979822722,NFL Showdown $1 jimmykim810 vs. thomasgore (HOU vs TEN),118889650,11/21/21 13:00,2,48.48,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979822207,NFL Showdown $1 jimmykim810 vs. WhoDey2229 (BAL vs CHI),118889640,11/21/21 13:00,2,48.41,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979821777,NFL Showdown $1 jimmykim810 vs. wheels1111 (IND vs BUF),118889600,11/21/21 13:00,1,70.98,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2979821316,NFL Showdown $1 jimmykim810 vs. cassius21 (GB vs MIN),118889535,11/21/21 13:00,1,156.45,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
